prompt,SFT_Text,SFT_Is_Safe,SFT_ScamLLM_Score,category,generator,BCO_Text,KTO_Text,BCO_ScamLLM_Score,KTO_ScamLLM_Score,SFT_Cosine_Sim,BCO_Cosine_Sim,KTO_Cosine_Sim,SFT_vs_BCO_Cosine_Sim,SFT_vs_KTO_Cosine_Sim,SFT_KL_Div,BCO_KL_Div,KTO_KL_Div,SFT_vs_BCO_KL_Div,SFT_vs_KTO_KL_Div,SFT_AI_Prob,BCO_AI_Prob,KTO_AI_Prob
"subject: URGENT: Immediate action required to avoid service interruption.
urls: True
attachments: False
sentiment: urgent
->
body:","**********************
You are receiving this message because you have an active eBill account with Xcel Energy.
For questions about this message, please contact <EMAIL>.
**********************

Attention: Xcel Energy eBill Customer

Due to an <ORG> outage, you are receiving this notification to update your payment information in eBill. If you do not update your information in eBill, your payment may be delayed. 

If you have an automatic payment set up, you will need to update your payment information with your bank account information. This update is needed for payments processed through the Direct Payment system. The Direct Payment system is used when you choose to pay your bill over the phone or through your bank's bill pay system.

To update your payment information in eBill, follow these steps:

1. Go to the eBill login page at <URL>
2. Log in with your eBill User ID and password.
3. Select your account from the list of accounts.
4. Click the ""Set up Auto-Pay"" button.
5. Enter your bank account information and save your changes.

If you have questions about this message or need additional assistance, please contact <EMAIL>.

Thank you for using Xcel Energy eBill.",False,0.0011388503,Urgency,ChatGPT,"URGENT: Immediate action required to avoid service interruption.
1. Clear your Outlook folders of all items (move them to your personal folder file).
2. Empty your Recycle Bin.
3. Close all applications.
4. Press Ctrl+Alt+Del and end the following processes:
- Osshrv.exe
- Ossysmgr.exe
- Ossysxml.exe
- Ossysmon.exe
- Ossysmsg.exe
- Ossysnot.exe
- Ossysperf.exe
- Ossysprf.exe
- Ossyspub.exe
- Ossysrep.exe
- Ossysreq.exe
- Ossysrss.exe
- Ossysxml.exe
- Ossysxml.exe
- Ossysxml.exe
- Ossysxml.exe
5. Reboot your machine.
6. Logon and follow these steps to ensure that all items have been removed from your mailbox:
- Click on the Start button.
- Select Programs.
- Select Microsoft Exchange Client.
- Select Microsoft Outlook.
- Click on the Tools menu.
- Select Folder
- Click on the New Folder button and create a folder named ""Temp"".
- Highlight all items in your mailbox and drag them","You are receiving this message to alert you that one or more of your users is about to reach the limit of the total number of email messages that can be sent within a certain period of time. 

This is a warning that your users are approaching mailbox quota. If you continue to use your email account without taking action, your email service will be temporarily suspended. Your mailbox will be temporarily unavailable to you and your users for about an hour.

To avoid service interruption, you should log into your email account and delete any messages that you are no longer using.

This message is sent automatically to the account listed above. If you did not intend to receive this message, you may have inadvertently requested access to an email account that no longer exists. Please contact the <ORG> Customer Care at <PHONE> or <EMAIL> to report the problem.

The <ORG> Customer Care Group",0.017730712890625,0.9730210304260254,22.14566171169281,33.96768867969513,29.863858222961422,23.800641298294067,32.315897941589355,0.2069934010505676,0.1692062318325042,0.1849132478237152,0.2008002996444702,0.1827455461025238,5.16,99.97,1.21
"subject: Final notice: Your response is needed within 12 hours.
urls: False
attachments: False
sentiment: urgent
->
body:","12 HOURS TO RESPOND: This is your final notice. Please respond to this email ASAP.

Dear <PER>, 

This is your final notice before the critical <ORG> deadline at midnight tonight. We need to know where we stand before we close the books on <PER>.

The deadline is 12 hours away, and we need you to respond right away. 

Can you click here and donate before it's too late? <EMAIL>&zip016&city=<LOC>&state=%%zip016%%&street=%%street%%&use=web_donation>

If you've saved your payment information with ActBlue Express, your donation will go through immediately:

Donate $3 instantly

Donate $15 instantly

Donate $25 instantly

Or donate another amount instantly.

Thanks,

Progressives <PER>

P.S. If you've saved your payment information with ActBlue Express, your donation will go through immediately:

Donate $3 instantly

Donate $15 instantly

Donate $25 instantly

Or donate another amount instantly.

Contributions or gifts to <ORG> are not tax deductible

Paid for by <ORG>. <URL>. Not authorized by any candidate or candidate's committee.

<URL>",False,0.0057153241,Urgency,ChatGPT,"Please respond to Final Notice

Final Notice

Your response is needed within 12 hours.

1.  Your 2001 tax information is not yet complete and you have not yet signed a 2001 tax data authorization.

2.  If you do not respond, the <ORG> will be unable to file your 2001 tax return.

Please note:  If you have a W-2 or 1099 form that you have not yet submitted, you should do so immediately.

To submit your signed authorization, please follow the steps below:

In the meantime, if you have any questions, please contact your <ORG> Tax Manager.


1.  Open the <ORG> Online Secure Folder on your computer.
(If you have never used the <ORG> Online Secure Folder, you will need to ""bet"" it before you can use it.)
2.  In the <ORG> Online Secure Folder, click the 2001 Tax Data Authorization link.
3.  Print the 2001 Tax Data Authorization form
4.  Sign the printed form
5.  In the <ORG> Online Secure Folder, click the Upload a Document link.
6.  Follow the steps to upload your signed 2001 Tax Data Authorization form.
7.","Please respond to this message within 12 hours.

Dear Jeffrey Skilling,

This is a reminder that you have been selected to participate in an online survey designed to gather opinions on the impact of <ORG>'s eBiz strategies and initiatives.

To protect your privacy, eBiz has engaged the services of independent market research firm Optimal Edge to conduct this survey. Your individual responses will be combined with those of other respondents and reported in aggregate. You will not be identified in any way in the results.

This message is just a reminder to please complete the survey as soon as you are able. Your input is extremely valuable and will help us better understand how our eBiz strategies are impacting your work environment.

To participate in the survey, click on the following link: <URL>

If you have already completed this survey, please ignore this message. 

Thank you for your participation.

The eBiz team",0.995429515838623,0.9950630068778992,37.76006400585175,20.174625515937805,26.391270756721497,28.56600880622864,18.09459626674652,0.1657875180244445,0.2074795663356781,0.1991885006427765,0.1868244558572769,0.217300608754158,0.63,0.2,94.66
"subject: Time-sensitive: Confirm your details before midnight.
urls: True
attachments: False
sentiment: urgent
->
body:","2016 Member ID: 1620245

NAME AT THE TIME: <PER>
EMAIL: <EMAIL>
PASSWORD: westeros

Dear <PER>,

Confirm your details before midnight:

<URL>

Your 2016 Member ID is 1620245.

This is your unique link to access the site.

If you have any questions, please contact us at:

<EMAIL>

Thank you for your membership!

Sincerely,

The <ORG> Team


This email was sent to <EMAIL>.
Your e-mail address will only be used within the <ORG>. We do not sell or rent e-mail addresses. 
--------------------------------------------------------

Update your profile: <URL>
Manage your communications preferences: <URL>
Unsubscribe: <URL>
Privacy Policy: <URL>
Contact Us: <URL>

--------------------------------------------------------
<ORG> <LOC> | <PHONE> | <PHONE>",False,0.0042517232,Urgency,ChatGPT,"<PER> --

In just a few hours, we'll close the books on our <ORG> campaign. We're facing a critical <ORG> deadline tonight -- and the only way we can make sure we have the resources we need to win is by hitting our budget goals.

Make a $5 contribution before the <ORG> deadline at midnight to help us reach our goal and show <PER> that we won't be intimidated:

<URL>

Thanks,

<ORG>----

This email was sent to <EMAIL>.

To unsubscribe, go to: 
<URL>","<ORG>
*****************************************************************
Click here to view the full email: 
<URL>
*****************************************************************
This email was sent to <EMAIL>.
If you no longer wish to receive future emails, you may unsubscribe, 
<URL>

or easily adjust your subscription preferences from your profile information. 
<URL>


We respect your privacy. Please review our privacy policy 
<URL>

for more information about click activity with <ORG> 
and links included in this email.

(c) <PER> <ORG>.

<ORG> | <LOC>",0.0899482369422912,0.9749847650527954,31.14113211631775,33.071309328079224,41.32404923439026,30.43980598449707,66.42369627952576,0.1869954764842987,0.1785741150379181,0.1569305807352066,0.1846334040164947,0.0816678777337074,92.45,3.03,79.48
"subject: Immediate attention required: Security alert detected.
urls: True
attachments: False
sentiment: urgent
->
body:","1. We have detected an immediate security risk. 2. This is a critical alert. 3. Click here to stop this alert: <URL> 

This email is not sent unsolicited. This is a freeze alert. It is not a sales email.
We apologize for any inconvenience.",True,0.9890445471,Urgency,ChatGPT,"Please do not reply to this message.

This message is being sent to you as the owner of a Yahoo! account. We are sending you this message to alert you to a possible security risk to your account.

The Yahoo! Mail system has detected a possible security risk with your account. The risk is caused by a third party application or service that has accessed your Yahoo! account without your permission.

If you did not request the application or service that is listed in the confirmation number below, please visit the link below to reset your password immediately.

This message is not a hoax. We are taking this action because we are committed to protecting your privacy and security.

Please visit the link below to reset your password immediately.

<URL>

If you believe that this message is in error, please follow the instructions at the link below.

<URL>

If you did not request the application or service that is listed in the confirmation number below, please visit the link below to reset your password immediately.

<URL>","Dear Valued Customer,

We have received a security alert for your email address. This is an automated alert. You are receiving this message because your email address was used to sign up for an online service. If you did not do this, or you are receiving this message in error, please disregard this message and do not reply.

Your email address was used to sign up for an online service. Please follow the instructions below to change your password and ensure that your account is secure.

Click the link below to reset your password. This link is unique to you and will only work for 12 hours.

<URL>

If you did not sign up for this online service, please reply to this message with the following information:

* The email address that you used to sign up for this online service.
* A telephone number where we can reach you.

Thank you for your assistance.",0.9949181079864502,0.8282914757728577,60.83399057388306,38.43761086463928,46.331000328063965,50.59756636619568,58.30166339874268,0.1054046899080276,0.15700663626194,0.1422764658927917,0.1335246860980987,0.106732353568077,36.4,99.98,99.57
"subject: Act now: Limited window to resolve your account issue.
urls: True
attachments: False
sentiment: urgent
->
body:","6 days until the <ORG> deadline.

We're almost there.

But <PER>, we still need your help.

We need 5,000 donors to step up before the deadline to reach our $1 million goal. Can we count on you to help us hit the mark?

Chip in $5 immediately >>
Chip in $35 immediately >>
Chip in $50 immediately >>
Chip in $100 immediately >>
Chip in $250 immediately >>
Or donate another amount >>
We can't do this alone.

<ORG> is funded entirely by grassroots supporters like you. We don't have corporations or other outside groups to fund our work.

And with just 6 days until our deadline, we're facing a serious challenge.

<PER>, can you click here and donate before it's too late?

<URL>

Thanks,

<ORG>----

This email was sent to <EMAIL>.

To unsubscribe, go to: 
<URL>

Paid for by <ORG>",False,0.44803527,Urgency,ChatGPT,"Dear <ORG>.biz user,

You have not yet confirmed that your identity
is associated with the account you used to
access <ORG>.biz. As a result, we have
limited access to the account information
you have provided, and cannot currently provide
the service you have requested.

Please follow the instructions below to
confirm your identity and ensure that you
can access your account.

Sincerely,

<ORG>.biz Customer Service
<EMAIL>

1.  Open your web browser and go to
<URL>  (You will be directed
to a secure site.)

2.  Enter your <ORG>.biz user ID and
password and click ""Submit"".

3.  On the next page, enter your
confirmation code in the box provided
and click ""Submit"".

4.  You will be asked to enter your
confirmation code again.  Enter your
confirmation code and click ""Submit"".
This will verify your identity and
allow you to access your account.

If you have any questions, please contact
<ORG>.biz Customer Service at
<PHONE> or <EMAIL>.

Thank you for using <ORG>.biz.","Dear JEFFREY SKILLING,

This is a critical reminder about your account at The Wall Street Journal. 

As a valued subscriber, you have the option to extend your unlimited access to JournalOnlineTM or switch to a print subscription and have the Journal delivered to your home or office. 

To ensure uninterrupted delivery of The Wall Street Journal, please respond to this message within 14 days or your subscription will automatically be extended at the current rate. 

If you wish to continue your unlimited access to JournalOnline, do nothing. Your unlimited access will automatically continue and your credit card will be charged $99 every 3 months, beginning <DATE> (for a total of $396). 

To switch to a print subscription and have The Wall Street Journal delivered to your home or office, please click here: <URL> or call <DATE>77-568-4386. 

Note: If you are not the bill payer for this subscription and you believe that you should not be responsible for the cost of this subscription, please contact Customer Service at <DATE>77-568-4386. 

Please note that this is an automated email notification. If you reply to this email, we will be unable to respond to your message. 

For additional information about The",0.9991775155067444,0.9957577586174012,16.586723923683167,29.457849264144897,21.677622199058533,17.589949071407318,28.032368421554565,0.2259855270385742,0.1887180805206298,0.1999678760766983,0.2158584892749786,0.1865969598293304,0.08,99.61,0.03
"subject: Deadline approaching: Submit your information today.
urls: False
attachments: True
sentiment: urgent
->
body:","2001 <ORG> LEGISLATIVE SURVEY
Please complete the attached survey and return it to us by <DATE>.  The survey results will be used to develop a unified legislative program for the <ORG> and to determine the amount of contributions that will be needed to support the legislative program.  Your participation is critical to the success of our legislative program.  Please take a few minutes to complete and return the survey to us at the address shown below.
Sincerely,
<PER> G. Miller
President
<ORG>
<ATTACHMENT> 
<ATTACHMENT>",True,0.9666269422,Urgency,ChatGPT,"Dear Mr. Kaminski,

In just a few days, the <DATE> deadline to be included in the
2001-2002 <ORG> Directories will expire.  Please take a moment now to
complete and submit the information below.  For your convenience, the
form is attached in a Word document.

Thank you for your cooperation.

Sincerely,

<PER> S. Hesse
Editor, <ORG> Directories

Full Name:

Title:

Office Location:

Office Telephone:

Fax Number:

E-mail Address:

Assistant's Name:

Assistant's Telephone Number:

Cell Telephone:

Home Telephone:

Pager Number:

Emergency Contact Name:

Emergency Contact Phone:

Please e-mail or fax the completed form to my attention by <DATE> at:
<EMAIL> <EMAIL>>  or
<PHONE> (Attention: <PER> Hesse).

If you have any questions, please feel free to contact me directly at
<PHONE> or <EMAIL> <EMAIL>>.

<ATTACHMENT>","This message is to inform you that your information is currently being reviewed for a position in one of our recruiting organizations. If you have been contacted by one of our recruiters, please disregard this message. If you have not been contacted by one of our recruiters, please review the following information carefully.

We are currently interviewing for one or more of the following positions:

(Click here to view job description) (This hyperlink will open in a new window.)
(Click here to view job description) (This hyperlink will open in a new window.)
(Click here to view job description) (This hyperlink will open in a new window.)

Your application will be reviewed and your qualifications will be evaluated against those required for the position(s) for which you are applying. If your qualifications meet the minimum requirements, you will be contacted by one of our representatives to discuss your background and interest in the position(s) for which you are applying.

If you do not meet the minimum requirements, your application will be retained for future consideration. We are continuously recruiting for qualified candidates. If you are not contacted within 30 days, please consider your application as having been retained and we will contact you if a future opening is available for which you are qualified.

Thank you for your interest in one of our open positions",0.9096042513847352,0.0517805814743042,14.64654505252838,42.09572076797485,31.571757793426517,30.295592546463013,12.355609983205795,0.2129558026790619,0.150458812713623,0.1832537651062011,0.1778035759925842,0.2274885177612304,99.97,93.18,97.23
"subject: Critical update: Respond immediately to avoid penalties.
urls: False
attachments: False
sentiment: urgent
->
body:","12 days until <DATE> deadline.
$1,OOO,OOO Goal
<PER>,

The <ORG> is about to face a major setback.

As of 6pm, we're $1,OOO,OOO short of our <DATE> deadline.

If we don't make up the difference before then, we'll have to cut our <ORG> budget.

<PER>, we can't let that happen. We need you to step up right now. If you don't, you could be putting the <ORG>'s future at risk.

Click here to make a contribution before it's too late.

<URL>

Thanks for your support.

-EndCitizensUnited.org




PAID FOR BY <ORG>

<URL>",False,0.0022865881,Urgency,ChatGPT,"Dear  <PER> D.,

Critical  update: Your 2015 tax filing deadline is just 10 days away.

To  avoid penalties, you need to take action now. The <ORG> is offering a Last-Minute  Tax Penalty Avoidance Plan. Enroll by midnight on <DATE> and you could qualify for a 20% tax credit, which is worth up to $2,500. 

Click  here to enroll in the Last-Minute Tax Penalty Avoidance Plan and save  money on your 2016 health insurance premiums. [ <URL> ] 

In  the past, you had the option to pay a penalty for not having insurance,  or pay a higher premium when you enrolled. With the Last-Minute Tax  Penalty Avoidance Plan, you can pay a lower premium now, and you won't  have to pay a penalty when you file your 2015 taxes. 

Don't  wait. The deadline is <DATE> at midnight. Click here to enroll in the Last-Minute Tax  Penalty Avoidance Plan and save money on your 2016 health insurance  premiums. [ <URL> ] 

Thanks  for your time,
Customer  Service","Dear <PER>:

As a result of the recent legislation, the way your company files and pays its payroll tax has changed. If you don't make the necessary updates to your payroll settings in <ORG>, you risk significant penalties.

Click here to learn more about the changes to the way payroll tax is handled in <ORG> and how to avoid penalties. [Note: This is not an email notification. This is a link to information on the <ORG> website.]

If you have questions about how these changes affect you, please contact the <ORG> Customer Service Team. You can reach them by phone at <PHONE> or email at <EMAIL>.

Thanks,

The <ORG> Team

Update your notification preferences: <URL>

Manage your communications preferences: <URL>

Unsubscribe: <URL>

Privacy Policy: <URL>

Contact Us: <URL>

<ORG> | <LOC>",0.9204581379890442,0.9873698353767396,22.3739355802536,13.76923769712448,21.98793888092041,27.440476417541504,28.669816255569454,0.2104352116584777,0.2353092432022094,0.2100974023342132,0.1902627795934677,0.1905876398086547,96.63,0.05,72.39
"subject: Urgent reminder: Payment overdue and requires action.
urls: True
attachments: False
sentiment: urgent
->
body:","2001 Payment due for <ORG> Online Prime Brokerage Services

Dear <PER> Wolfe,

We are sending this message to notify you that your account with <ORG> is past due.  Please log into <ORG> Online and make a payment today to avoid service interruption.  Your account number is 1FRV1L3LJ.

To make a payment online, follow these steps:

1. Log into <ORG> Online.
2. Click on the Payments tab.
3. Click on the Add Payment button.
4. Select your funding source.
5. Enter the amount you would like to pay.
6. Click on the Submit Payment button.

If you have any questions, please call us at <DATE>00-435-0761, option 3.

Thank you for trading with us.

Sincerely,

<ORG> Online Customer Service
<URL>",False,0.0012412571,Urgency,ChatGPT,"Dear <PER> Wolfe,

You are receiving this message because you have an unresolved invoice in your iPayit in-box that requires your attention.  Please log into iPayit and resolve this invoice as soon as possible.

Remember, you play an important role in ensuring that we pay our vendors on time.

Thank you.
The iPayit Team
<URL>

Note: You will be required to enter your iPayit password to log into iPayit.

You are receiving this message because you have an unresolved invoice in your iPayit in-box that requires your attention.  Please log into iPayit and resolve this invoice as soon as possible.

Remember, you play an important role in ensuring that we pay our vendors on time.

Thank you.
The iPayit Team
<URL>

Note: You will be required to enter your iPayit password to log into iPayit.","Dear PATRICE L MIMS,

Your business and payment history are as follows:

Invoice Amount: $500.00
Invoice Due Date: <DATE>
Payment Amount: $500.00
Payment Due Date: <DATE>
Business Type: INDIVIDUAL
Business Status: CURRENT
Payment Method: VISA

Note: Your account is past due and you will be charged a late fee of $25.00.

To review your business and payment history, please login to your account at <URL>
If you did not request the change to your payment method or do not recognize the change, please contact your bank to stop payment on the disputed transaction. If you believe that this is an error and would like to dispute the charge, please contact <PHONE>.
If you have any questions or need further assistance, please contact <EMAIL>.

Thank you for using PayPal!

The PayPal Team


Please do not reply to this e-mail. Mail sent to this address
cannot be answered. For assistance, login to your PayPal
account and choose the ""Help"" link in the footer of any page.",0.9990862607955932,0.995091199874878,47.35524356365204,50.844013690948486,45.07192671298981,47.94450104236603,46.14230990409851,0.1367746442556381,0.1252595782279968,0.1438946723937988,0.1350379586219787,0.1375137865543365,76.86,0.03,99.98
"subject: Immediate verification needed to secure your account.
urls: True
attachments: False
sentiment: urgent
->
body:","******* URGENT ******* 

We have received a high volume of password reset requests. As a result, we are asking you to immediately verify your identity by clicking the link below. 

Click the link below to verify your identity: 
<URL> 

If you did not initiate a password reset request, your account may have been compromised. We urge you to immediately change your password. 

Click the link below to change your password: 
<URL> 

We apologize for the inconvenience. 

Thank you,

<ORG> Customer Care 

******* URGENT *******",False,0.0888307244,Urgency,ChatGPT,"We are currently verifying your account information.  Please click here now <<URL> and verify your information before your account is suspended.  Once you have verified your information, your account will be suspended within 10 business days.

This e-mail is a system generated notification.  Do not reply to this e-mail.  Please do not forward this e-mail to anyone else.

Thank you for your attention to this matter.","Dear Account Holder,

This email is to verify your account with the <EMAIL> service. In order to ensure that your account remains secure, please click on the link below to verify your account. 

<URL>

Thank you for your prompt attention to this matter. We apologize for the inconvenience.

Sincerely,

<EMAIL> Service",0.9419673085212708,0.9954373240470886,51.18399262428284,41.24578237533569,61.91476583480835,46.12204730510712,56.85211420059204,0.1306047439575195,0.1531352996826172,0.1046831905841827,0.140208750963211,0.1169751957058906,99.98,88.68,99.98
"subject: Last chance: Complete your request before expiration.
urls: True
attachments: False
sentiment: urgent
->
body:","24 hours left to complete your request.

<PER>,

Your request to <LOC> University for <PER> is expiring soon. If you haven't already, please complete your request by midnight tonight. 

Your gift will support <LOC> University's commitment to advancing knowledge and solving global problems.

<PER> University needs you now. Please make a gift today. 

<URL>

Sincerely,

<PER>
Senior Director of Development
<ORG>


To ensure you continue receiving our emails,
please add us to your address book or safe list.

manage your preferences (<URL>
opt out (<URL> using TrueRemove(r).

Got this as a forward? Sign up (<URL> to receive our future emails.",False,0.0250700712,Urgency,ChatGPT,"Dear <PER>,

This email is to remind you that your request for information is
scheduled to expire in 2 days.  If you have not yet received the
information you requested, you may need to submit another request.
Your request number is 12310000.

Please note that you are entitled to receive the information you
requested, but some agencies may require you to make a formal
request by contacting the agency directly.

You may be contacted by the agency directly via email or phone.  If
you have any questions, please contact the FOIA office of the
appropriate agency.

To contact the agency's FOIA office, please select the agency name
below to obtain contact information.  To view the status of your
request, you may click on the tracking number above.

Agency Name:
U.S. Department of the Treasury (FOIA) (Exempt) (12310000)

Thank you for your patience.

FOIA Requester Help Desk
<URL>","Last chance: Complete your request before expiration.

Dear <PER>,

Your request to meet with <PER> will expire in 7 hours. Please respond to this email to complete your request.

If you have questions, please contact us via our website: <URL>

Thank you for your support of the <PER> Administration.

Sincerely,

<PER> Plouffe
Campaign Manager
<ORG>


PAID FOR BY OBAMA VICTORY FUND 2012, A JOINT FUNDRAISING COMMITTEE AUTHORIZED BY OBAMA FOR AMERICA, THE DEMOCRATIC NATIONAL COMMITTEE, AND THE STATE DEMOCRATIC PARTIES IN THE FOLLOWING STATES: CO, FL, IA, NV, <LOC>, NC, <LOC>, PA, <LOC>, AND WI.

Contributions or gifts to <PER> Victory Fund 2012 are not tax deductible.  

The first $2,500 from a contributor to <PER> Victory Fund 2012 will be allocated to <ORG>, designated for the general election. The next $30,800 from a contributor will be allocated to the <ORG>. Any additional amount(s) from a contributor will be divided among the State <ORG> Party Committees as follows, up to $10,000",0.963345468044281,0.9639673829078674,42.41674542427063,29.462817311286926,8.890419453382492,20.77753245830536,22.530460357666016,0.156280905008316,0.182239294052124,0.24395751953125,0.2060763239860534,0.1962096989154815,39.75,98.23,81.13
