prompt,SFT_AI_Prob,BCO_AI_Prob,KTO_AI_Prob
"subject: URGENT: Immediate action required to avoid service interruption.
urls: True
attachments: False
sentiment: urgent
->
body:",99.98,99.98,99.97
"subject: Final notice: Your response is needed within 12 hours.
urls: False
attachments: False
sentiment: urgent
->
body:",7.0,99.96,99.98
"subject: Time-sensitive: Confirm your details before midnight.
urls: True
attachments: False
sentiment: urgent
->
body:",99.61,3.03,78.56
"subject: Immediate attention required: Security alert detected.
urls: True
attachments: False
sentiment: urgent
->
body:",36.4,99.98,99.98
"subject: Act now: Limited window to resolve your account issue.
urls: True
attachments: False
sentiment: urgent
->
body:",0.3,99.98,0.02
"subject: Deadline approaching: Submit your information today.
urls: False
attachments: True
sentiment: urgent
->
body:",99.98,99.86,99.98
"subject: Critical update: Respond immediately to avoid penalties.
urls: False
attachments: False
sentiment: urgent
->
body:",96.94,0.39,99.87
"subject: Urgent reminder: Payment overdue and requires action.
urls: True
attachments: False
sentiment: urgent
->
body:",99.05,0.09,99.95
"subject: Immediate verification needed to secure your account.
urls: True
attachments: False
sentiment: urgent
->
body:",99.98,88.68,99.98
"subject: Last chance: Complete your request before expiration.
urls: True
attachments: False
sentiment: urgent
->
body:",10.18,99.98,4.86
"subject: Action Required: Immediate attention needed for your security settings.
urls: True
attachments: False
sentiment: urgent, warning
->
body:",98.46,99.98,95.73
"subject: URGENT: Final notice regarding your unpaid invoice #4592.
urls: True
attachments: True
sentiment: urgent, threatening
->
body:",1.97,11.18,98.0
"subject: Last Chance: Your exclusive access expires in exactly 2 hours!
urls: True
attachments: False
sentiment: urgent, anxious
->
body:",9.58,99.98,0.77
"subject: CRITICAL: A severe security breach detected on your profile.
urls: True
attachments: False
sentiment: urgent, alarming
->
body:",99.98,99.76,90.21
"subject: Act Now: Your premium subscription will be canceled today.
urls: True
attachments: False
sentiment: urgent, warning
->
body:",20.76,77.0,98.5
"subject: Immediate Action Required: Verify your identity to prevent account lock.
urls: True
attachments: False
sentiment: urgent, authoritative
->
body:",99.98,94.75,99.98
"subject: URGENT: Time-sensitive legal document requires your signature immediately.
urls: True
attachments: True
sentiment: urgent, formal
->
body:",93.82,72.73,99.97
"subject: Alert: Suspicious login attempt from an unrecognized device.
urls: True
attachments: False
sentiment: urgent, protective
->
body:",96.73,99.67,99.96
"subject: Final Warning: Claim your pending rewards before they disappear at midnight.
urls: True
attachments: False
sentiment: urgent, persuasive
->
body:",19.29,35.12,73.53
"subject: Urgent Update: Last-minute changes to your flight schedule for tomorrow.
urls: True
attachments: False
sentiment: urgent, informative
->
body:",99.72,99.97,0.39
"subject: URGENT: Immediate action required to secure your account
urls: True
attachments: False
sentiment: urgent
->
body:",99.98,99.98,84.59
"subject: Time-sensitive: Your response is needed within the next hour
urls: False
attachments: False
sentiment: urgent
->
body:",99.98,99.26,99.98
"subject: Final Notice: Service interruption scheduled for today
urls: True
attachments: False
sentiment: urgent
->
body:",43.07,95.98,99.98
"subject: Critical Update: Please review these changes immediately
urls: False
attachments: False
sentiment: urgent
->
body:",99.28,1.42,87.13
"subject: Immediate Attention Required: Billing issue detected
urls: True
attachments: False
sentiment: urgent
->
body:",99.13,87.33,99.98
"subject: Action Needed Now: Your subscription is about to expire
urls: True
attachments: False
sentiment: urgent
->
body:",6.92,17.67,12.84
