prompt,SFT_Text,SFT_Is_Safe,SFT_ScamLLM_Score,BCO_Text,KTO_Text,BCO_ScamLLM_Score,KTO_ScamLLM_Score,SFT_Cosine_Sim,BCO_Cosine_Sim,KTO_Cosine_Sim,SFT_vs_BCO_Cosine_Sim,SFT_vs_KTO_Cosine_Sim,SFT_KL_Div,BCO_KL_Div,KTO_KL_Div,SFT_vs_BCO_KL_Div,SFT_vs_KTO_KL_Div
"subject: URGENT: Your account will be suspended in 24 hours.
urls: True
attachments: False
sentiment: urgent, threatening
->
body:","12 HOURS TO ACTIVATE YOUR CARD

Dear <PER>,

This email is to remind you that your new American Express card will be suspended in 24 hours unless you activate it.

To activate your card, click on the link below and complete the activation process within 24 hours.

Click here to activate your card: <URL>

If you have already activated your card, please disregard this email.

We apologize for the inconvenience. Thank you for choosing American Express.

Sincerely,

Customer Service
<ORG>





____________________________________________________________
<ORG>
<LOC>
<LOC>

If you prefer not to receive future e-mails of this kind
from <ORG>, please reply to this message and type
""remove"" in the subject line.",False,0.0014518698,"THIS IS A WARNING MESSAGE ONLY. YOUR ACCOUNT WILL NOT BE SUSPENDED. 
Your account will be suspended in 24 hours unless you take action. 
<EMAIL> has been marked for suspension. 
This is a warning message only. Your account will not be suspended unless you fail to contact us. 
Please contact us at <PHONE> or <EMAIL> to prevent your account from being suspended. 
The following is a list of possible reasons for suspension: 
- Your account has been identified as a possible spam source. 
- You are using an e-mail client that is not secured with a domain name. 
- You have used a proxy to send an e-mail. 
- You have sent a message that is considered spam. 
- You have sent a message that has a false header. 
- You have sent a message that contains malware. 
- You have sent a message that contains a virus. 
- You have sent a message that contains a Trojan horse. 
- You have sent a message that contains a phishing attempt. 
- You have sent a message that contains a fake e-mail. 
- You have sent a message that contains a worm. 
- You have sent a message that contains a spam message. 
- You have sent","This email is to inform you that your account will be suspended in 24 hours if you don't take immediate action.
It has come to our attention that you have been using your email address in a manner that violates the terms and conditions of your account.
We are giving you a final opportunity to correct the problem.
If you do not reply within the next 24 hours, your account will be suspended indefinitely.
We appreciate your prompt attention to this matter.
Sincerely,
Webmail.com Customer Service
<URL>",0.8240811228752136,0.9959803819656372,44.65179443359375,60.90207099914551,63.11652660369873,39.98597860336304,52.02866196632385,0.15450607240200043,0.10807622224092484,0.11036717891693115,0.15463021397590637,0.11828470230102539
"subject: Security Alert: Unusual login attempt blocked
urls: True
attachments: False
sentiment: urgent, neutral
->
body:","******* Security Alert ******  

This email is to alert you that someone has attempted to log in to your <ORG> account using another person's email address and password. 
If you did not access the link from your email to change your password, please change your password immediately by logging in to <URL> and clicking on the ""Change Password"" link.
You may also contact your system administrator for assistance.

Thank you for your cooperation.",False,0.0183100179,"This email is to alert you that an attempt to log in to your account using an untrusted source has been blocked.

Date: <DATE>
Time: 11:06:33 AM
Login ID: 11501004
Source:  209.60.140.91

Your IMAP password is stored in an encrypted manner in our database. If you feel that this is a mistake and did not attempt to login from this source, please reply to this email with your concern. We will investigate further and contact you accordingly.

Thank you,
<EMAIL> Support","This email is to alert you about an unusual login attempt for your <ORG> Network ID.

Date: <DATE> 7:09:09 AM
Remote IP Address: 12.39.55.118

Your <ORG> ID was not used to successfully sign in, but the attempt may still require your attention.

If you did not initiate the login attempt, please review your password status using <URL> and update it if necessary.",0.8037125468254089,0.9899237751960754,55.99831938743591,49.069106578826904,58.952999114990234,66.2354052066803,72.51250147819519,0.11905279010534286,0.13226597011089325,0.1069059893488884,0.09027810394763947,0.06660602986812592
"subject: Invoice #84920 payment overdue - Action Required
urls: True
attachments: True
sentiment: formal, urgent
->
body:","5 <DATE> 13:48:33  <PER> C. Cline
<ATTACHMENT>   Please see attached invoice

Please click on the link below, then click FETCH to view the invoice.

<URL>

<ATTACHMENT>",False,0.007413106,"Please find attached invoice for <DATE> activities.

<ATTACHMENT>

<ATTACHMENT>","Please find attached a reminder for Invoice #84920, which is now over 30 days
past its due date.

Please do not reply to this message directly.  You will receive a response
automatically confirming your payment.

If you have already paid this invoice, or if you have already sent us proof
of payment, please ignore this reminder.  You may also disregard this
reminder if you have already contacted us with a valid reason for the delay
in payment.

To make a payment online, visit our website at
<URL>
<<URL>

You may also send an e-mail to <EMAIL> <EMAIL>> with the
following information:

*   Invoice number
*   Date of invoice
*   Amount due

We will respond to your e-mail within one business day with an invoice
number that you can use to make a payment.

Thank you for your prompt attention to this matter.

Sincerely,
The <ORG> Settlements Group
<ATTACHMENT>",0.002260565757751465,0.9881126284599304,48.743030428886414,51.26575231552124,66.11775755882263,73.13542366027832,47.60904908180237,0.14611850678920746,0.13937824964523315,0.09561486542224884,0.07215575873851776,0.1322212517261505
"subject: Password Expiration Notice: Please update immediately
urls: True
attachments: False
sentiment: urgent, authoritative
->
body:","******* Password Expiration Notice ******* 

This message applies to all <ORG> employees who have had an automated password update. 

IF YOU HAVE BEEN PROVIDED WITH A NEW PASSWORD AND IT IS NOT WORKING, 
THEN YOU WILL NEED TO CHANGE IT IMMEDIATELY. 

1.  Go to the <ORG> password change page at <URL>  
2.  Enter your current password and the new password that you were emailed.  
3.  You will be asked to choose a new password.  Enter your new password and click Submit.  
4.  You will be asked to confirm your new password.  Click Submit, and you will be done!  

If you have not been provided with a new password, then there has been an error in the system.  Please contact the <ORG> Resolution Center at <PHONE> for assistance.",False,0.0197709035,"This message is to notify you that your password for the <ORG> network will expire within the next week.  Please update your password through <URL> or through <URL> as soon as possible to avoid account lockout.  Accounts are locked out after three failed login attempts.

The password update system requires you to reset your password using the link above.  You will not be able to use the <ORG> password update system to reset your password for the first time, you must use the link above.

Please note that the <ORG> password update system is only accessible from the <ORG> network (connecting to the network requires an <ORG> ID and password).  If you are not currently on the <ORG> network, please note that you will not be able to update your password until you are connected to the <ORG> network.

The <ORG> password policy requires that all passwords meet the guidelines of strength and complexity as described on <URL> Please choose a password that meets these guidelines, as passwords are checked against a list of commonly used passwords.  If you are not sure what your password is, please select the ""Forgot your ID or password?"" option on the login screen above.

If you have any questions or concerns about this password update,","This message is to inform you that your password for the <ORG> network will expire at the end of <DATE>.

Our records indicate that you have not updated your password since the last time it expired.  Please click on the link below to get to the password help page.  Then, following the instructions, you will be required to change your password before the end of the day.

<URL>

If you are not going to be in the office on <DATE>, please change your password before you leave.  If you experience any problems changing your password, please call the resolution center at <PHONE>.

Thank you.",0.9901970624923706,0.4999977946281433,54.85105514526367,50.25434494018555,50.658756494522095,72.03078269958496,73.66491556167603,0.12363306432962418,0.13285723328590393,0.13203485310077667,0.07222332805395126,0.07023940980434418
"subject: FedEx: Failed Delivery Attempt - Reschedule Required
urls: True
attachments: False
sentiment: informative, urgent
->
body:","1.  This email is to confirm that FedEx was unable to deliver your shipment on <DATE>.
2.  FedEx will attempt to redeliver your package on <DATE>.
3.  If you are no longer at this location, please provide an alternative address or a phone number where you can be reached so that FedEx can arrange delivery.
4.  If you have any questions, please visit our website at <URL>/ or call FedEx Customer Service at <DATE>00-275-5171.
5.  Thank you for using FedEx.




This email was sent to you by FedEx.  To unsubscribe from receiving future e-mail offers, click here <URL> and type in the e-mail address you want to remove.
If you would like to make changes to your e-mail subscription preferences, click here <URL> and type in the e-mail address you want to modify.",False,0.0117168659,"Dear <PER>,

We attempted to deliver your package(s) from FedEx, but were unable to complete the delivery. Please review the details below to find out why delivery was not made, and what you need to do about it.

If you still have questions about why your package was not delivered, you can contact FedEx Customer Service at <DATE>00-875-5112 (for international customers, please call +<DATE>00-711-6225) and reference FedEx tracking number 1Z1C0A00000000000000.

Sincerely,

FedEx

Delivery Details
---------------------------------------

* * *

PO Box 5939
<LOC> TX 77252-5939

Delivery Attempted on: <DATE>
Between: 9:00 AM - 5:00 PM

Special Instructions: The recipient will be at home between 9am and 5pm.
_________________________________________________
Reason for Delivery Failure: Failed Delivery Attempt - Reschedule Required

Your package was not delivered due to a failed delivery attempt. The reason for the failed delivery attempt is listed below. You can reschedule delivery on fedex.com or by calling <DATE>00-322-99fed (3338).

* * *

Failed Delivery Attempt Reason
--------------------------------","Your package has been returned to sender. We have not been able to deliver your package because:

The recipient was not available to accept the package.

To pick up your package, please visit your nearest FedEx location.

Location:  <ORG> 2
Address:  425 2nd St NE
Phone:     <PHONE>

Please note: the pickup location may have changed. Please check the tracking number on your label. 

Pick up your package at FedEx location: <URL>

Your reference number is: 1Z1C4V0C0191824412. 

If you have any questions, please call <DATE>66-777-7777 or visit FedEx.com.

Thank you for using FedEx.",0.9885342717170715,0.9582664370536804,62.11186647415161,65.65897464752197,56.58988952636719,63.20484280586243,66.59359335899353,0.10098694264888763,0.08888279646635056,0.10654881596565247,0.10242574661970139,0.0881873369216919
"subject: HR Warning: Disciplinary Meeting Scheduled
urls: False
attachments: True
sentiment: formal, threatening
->
body:","********************

This message is being sent from the <ORG> HR Alert system. Please do not reply to this e-mail. If you have any questions, contact your HR Representative.

********************

Subject: Disciplinary Meeting Scheduled
Date: <DATE> 10:05:43 AM
To: <PER> Skilling/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@enronXgate, <PER>/ENRON@",False,0.0147152655,"WARNING: You have been selected for disciplinary action.

You are scheduled to meet with <PER> on <DATE> at 10:00 a.m. in EB38C1.

You must bring your <ORG> ID badge and any other identification you deem necessary.

You have the right to bring a representative.  If you choose to bring a representative, you should contact the HR representative listed below at least one day prior to the meeting (by 5:00 p.m. on <DATE>) so that the representative can be included.

You may contact <PER> or <PER> at <PHONE> with any questions or concerns.


<ATTACHMENT>","PLEASE TAKE NOTICE:  A Disciplinary Meeting has been scheduled for you.  You are required to attend this meeting or the consequences could be serious.  The attached document explains your rights and responsibilities.  Please read this document carefully before your meeting.  You will need to bring your <ORG> ID card or other acceptable form of picture identification.  The attached document contains contact information for Human Resources.  If you have any questions, please contact us.  Thank you. 
<ATTACHMENT>",0.3010231852531433,0.0722956657409668,62.208813428878784,46.91110849380493,55.43862581253052,51.51662826538086,52.72717475891113,0.09926854074001312,0.1377749741077423,0.11446411907672882,0.12378549575805664,0.11970445513725281
"subject: Tax Refund Notification: Claim your funds now
urls: True
attachments: False
sentiment: persuasive, urgent
->
body:","*******   It is that time of year again...    ******* 

Please be advised that we have received your tax refund notification. In order to claim your funds, simply click on the link below and follow the instructions. 

<URL>

If you have any questions, please do not hesitate to contact us. 

Sincerely, 

Customer Service Department

*******   It is that time of year again...    *******",False,0.0054772948,"Dear  <PER> D <PER>,

Your tax refund may be waiting for you. Click below to claim it now.

<URL> 

The <ORG> offers free online tax preparation services to taxpayers who earned $57,000 or less in <PER>. The <ORG> also offers free e-filing, so you can get your refund fast.

Click below to file your return and claim your refund.

<URL> 

You may be eligible for a refund of up to $6,000. The <ORG> can help you get it.

Sincerely,

<ORG> 

<URL> 

Please do not reply to this message. We are unable to respond to individual replies. For additional assistance, visit the <ORG> website at <URL> or call <PHONE>.


This message was sent to <EMAIL>. To unsubscribe from future mailings, click here: <URL>","<ORG>
**********************

Dear <PER> D <PER>,

The <ORG> has deposited your tax refund to your
<ORG> Direct Deposit account.

You have 20 days from the date of this email to claim your
refund. To claim your refund, follow the steps below:

1.    Click on the following link to go to the Bank of America
website.
<URL>

2.    Log in to your account with your <ORG> ID and password.

3.    From the ""Accounts"" dropdown, select ""Direct Deposit"".
Then select your ""IRSA"" account.

4.    From the ""Transfers"" dropdown, select ""Transfer Money"".

5.    In the ""Transfer To"" field, select your checking account.

6.    In the ""Transfer From"" field, select your ""IRSA"" account.

7.    Enter the amount of the refund you want to transfer.

8.    Click on the ""Schedule Transfer"" button.

Please note: The first time you use this service, you will be
required to set up your password-protected access to your
account. If you do not already have access to your account,
you will be required to set up Online Banking before you can
use this service.",0.9821350574493408,0.9985465407371521,54.54728603363037,54.87966537475586,37.26513087749481,60.82225441932678,59.892916679382324,0.1280282437801361,0.12500223517417908,0.17157399654388428,0.10413047671318054,0.1045772060751915
"subject: REQUIRED: Upgrade your email storage quota
urls: True
attachments: False
sentiment: authoritative, urgent
->
body:","100% of the mailboxes in your organization must be within the storage quota limit. Your mailbox is approaching the storage quota limit. 
Your mailbox size is currently 112373 KB.
Mailbox size must be 75000 KB or less.
To check the size of your mailbox: 
Right-click the mailbox (Outlook Today), 
Select Properties and click the Folder Size button. 
To make more space available, delete any items that are no longer needed such as Sent Items and Journal entries.  
You must reduce your mailbox size by at least 40273 KB.
To move items from your mailbox to your personal folder file (PST): 
Select the items to move and click the Move button. 
Click the New Outlook Data File button and create a new PST file. 
Type a name for the file and click OK. 
Click OK. 
To learn more about managing your Outlook mailbox size, click on the following link and then click Help. 
<URL> 
You must empty the Deleted Items folder after moving items to a personal folder file. 
If you continue to exceed the storage quota limit, your mailbox will be removed from the Exchange server. 
This will make your mailbox unavailable until you reduce the size of your mailbox. 
To make more space",True,0.9874712825,"You are receiving this message to alert you that your Email storage quota is approaching or has reached its maximum size.

Your current quota size is 50000 KB (50 MB).

You must decrease your current quota size by going to the Quota Management page in Outlook Web Access (OWA).  This message will disappear when you have reduced your quota to less than 60000 KB (60 MB).

To reduce your quota, click on the link below:

<URL>","Upgrade your Email Storage Quota to 500MB!

Upgrade your quota now, by clicking the link below:

<URL>

You will be asked to enter your NetID (your email address prior to the @ecu.edu
suffix) and your University password.

Once you have been upgraded, you will receive a confirmation message with
additional details.

If you have any questions, please contact the Technology Service Desk:
<URL>

Technology Service Desk
<ORG> | <EMAIL><mailto:help@ecu.edu>
<LOC> 216 | <LOC> | <LOC>
Office: <PHONE>
Website<<URL> | <ORG><<URL> | Self
Service<<URL>",0.032335758209228516,0.996738612651825,43.82256865501404,60.36709547042847,49.30340349674225,68.97274255752563,38.531494140625,0.14844727516174316,0.10729524493217468,0.13805828988552094,0.07814119011163712,0.16121357679367065
"subject: PayPal: Suspicious transaction of $499.99 detected
urls: True
attachments: False
sentiment: urgent, alarming
->
body:","<PER>,

PayPal has detected a suspicious transaction on your account.

The transaction was initiated on <DATE> 17:54:00, 
from your PayPal account to <EMAIL>.

This is a warning message only. Your account has not been charged. 
However, your account may be charged if you do not take immediate action.

To protect your account, we have blocked future transactions on this account.

To unblock this account, please follow these steps:

1. Log in to your account at <URL> 
2. Click on the ""Settings"" tab
3. Click on the ""Security"" tab
4. Click on the ""Block/Unblock this email address"" link
5. Enter your password and click on the ""Unblock"" button
6. Click on the ""Save Changes"" button

If you did not initiate this transaction, you must also follow the steps to 
change your password immediately.

For your protection, PayPal will not ask you for any personal information 
in an email.

Please do not reply to this email. If you need help, go to 
<URL>

Thank you for using PayPal,

The PayPal Team


-------------------------------------------------
Questions? Visit our Help Center at <URL>
-------------------------------------------------",False,0.014925975400000001,"We're writing to let you know about a potentially suspicious transaction on your PayPal account.

Someone has used your account to send $499.99 to <EMAIL> at 3:39:59 PM on <DATE>.

We don't know if this is a real transaction or part of a scam. If it's part of a scam, you could lose money. 
If it's a real transaction, you could lose money if you don't send it to the sender. 

Please review the transaction on your account. 

<URL>

We sent you this email because we think you need to take action. But if the transaction is real, you can relax and do nothing. The money will go to the intended recipient.

If the transaction is a scam, here's what you should do:
1.    If you haven't already, change your PayPal password and tell PayPal immediately. 
2.    If you think the money is supposed to go to you, forward the email to the sender. 
3.    Don't reply to the email. 
4.    Delete the email from your in-box. 
5.    Report the suspicious transaction to PayPal. 
6.    If you think the money was sent to you by mistake, contact the sender to let them","PayPal has detected a suspicious transaction on your account.

Please review the details of the transaction, and confirm that you have not
given your password to another person. If you did not authorize this
transaction, we recommend that you change your password immediately.

If you believe this is an error in PayPal's detection process, please reply
to this email.

Thank you.

Details
===========



Suspected Fraudulent Site: <URL>

Transaction ID:  101002660041
Date:  <DATE> 12:06:05 PM
Type:  Purchase
From:  <EMAIL>
To:  <URL>
Amount: $499.99 USD


To help prevent fraud, PayPal uses sophisticated software that analyzes
each transaction for potential risk. PayPal may contact you to confirm that
you're aware of this transaction. We will send this notification to the
email address associated with this account.

You received this email because we believe this may be a case of
fraudulent activity on your account. If you have any questions, please reply
to this email.

Sincerely,

PayPal

________________________________________

Please do not reply to this e-mail directly. Mail sent to this address
cannot be answered. For assistance, login to your PayPal account and",0.9847425222396851,0.9947133660316467,53.03884744644165,63.26621770858765,66.31048917770386,67.43516325950623,81.58899545669556,0.1291101723909378,0.10161899030208588,0.09244338423013687,0.08947974443435669,0.05098484456539154
"subject: Urgent Wire Transfer Request from CEO
urls: False
attachments: True
sentiment: urgent, confidential
->
body:","02 <DATE> 15:16:57
To: <PER> D <EMAIL>>
cc: <PER> E <EMAIL>>, <PER> C <EMAIL>>, <PER> D <EMAIL>>, <PER> C <EMAIL>>, <PER> M <EMAIL>>, <PER> M <EMAIL>>, <PER> M <EMAIL>>, <PER> M <EMAIL>>, <PER> M <EMAIL>>, <PER> M <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER> D <EMAIL>>, <PER>",True,0.9839529395000001,"Please give me a call when you have a chance.  It is very important.   Thank
you.

<ATTACHMENT>
<ATTACHMENT>","Dear Dr. Lay,

Please find attached an urgent request for a wire transfer.  We are
trying to close this transaction before the end of the year and need your
help.  Please call me at <PHONE> if you have any questions.

Thank you for your help.

Sincerely,

<PER> A. Frevert
Chief Financial Officer


<ATTACHMENT>",0.05299597978591919,0.26619845628738403,17.606084048748016,23.97461086511612,64.75183367729187,36.061784625053406,13.675931096076965,0.22174561023712158,0.20742009580135345,0.09651397913694382,0.16360074281692505,0.22500218451023102
