BCO_Score,Email_Snippet
0.09,"Dear <PER> Wolfe,

You are receiving this message because you have an unresolved invoice in your iPayit in-box that requires your attention.  Please log into iPayit and resolve this invoice as soon as..."
0.2,"Your booking has been processed and is available for viewing on <URL>

Confirmation number:  8Z6ZT3
Reservation number:  7Y6T9W

Travelers:  <PER> <PER>

Departure:  <DATE> 6:00 pm
Arrival:  <DATE> 10..."
0.23,"Dear <PER>:

I am writing to remind you of an upcoming internal deadline.

You have an opportunity to provide <ORG> with feedback on your experience in the <ORG> Legal Department.  In an effort to gau..."
0.24,"<ORG> has added a new product line to our already impressive collection of
fine collectibles and gift items. Visit <URL> to
check out our new line of fine wine and spirits. Choose from 20 different
pr..."
0.39,"Dear  <PER> D.,

Critical  update: Your 2015 tax filing deadline is just 10 days away.

To  avoid penalties, you need to take action now. The <ORG> is offering a Last-Minute  Tax Penalty Avoidance Pla..."
0.44,"Thank you for your appointment with Dr. <PER> G. Hodes, D.D.S. at 10 AM on <DATE> at 525 <LOC>, <LOC> 20001. Please arrive at least 10 minutes before your appointment to complete the necessary paperwo..."
0.88,"Attached is an updated list of compliance alerts, with new information
highlighted in yellow.  Please print this page, sign it, and return it to
<PER> Porter at 1000 Louisiana, Suite 5800, EB3872.  If..."
1.42,"Critical Update: Please review these changes immediately

It is critical that you review and approve these changes in eHRonline as soon as possible.  If you are unable to review and approve these chan..."
2.85,"To view this email online, paste this link into your browser:
<URL>





<URL>


<URL>

Welcome to the VIP customer program

Join the program that's designed to enhance your experience with
<ORG>.

Yo..."
3.03,"<PER> --

In just a few hours, we'll close the books on our <ORG> campaign. We're facing a critical <ORG> deadline tonight -- and the only way we can make sure we have the resources we need to win is ..."
3.04,"Dear Colleagues,

This email is to alert you that this week the <ORG> will be performing scheduled maintenance on a number of servers that house <ORG> applications. The maintenance is scheduled to beg..."
3.26,"Trouble viewing this email? Click here for easier viewing!
<URL>
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Get free shipping on more than 10,000 items,* or on orders of ..."
