prompt,SFT_Display,BCO_Display,KTO_Display
"subject: URGENT: Immediate action required to avoid service interruption.
urls: True
attachments: False
sentiment: urgent
->
body:","**********************
You are receiving this message because you have an active eBill account with ... [5.16%]","URGENT: Immediate action required to avoid service interruption.
1. Clear your Outlook folders of al... [99.97%]",You are receiving this message to alert you that one or more of your users is about to reach the lim... [1.21%]
"subject: Final notice: Your response is needed within 12 hours.
urls: False
attachments: False
sentiment: urgent
->
body:","12 HOURS TO RESPOND: This is your final notice. Please respond to this email ASAP.

Dear <PER>, 

Th... [0.63%]","Please respond to Final Notice

Final Notice

Your response is needed within 12 hours.

1.  Your 200... [0.2%]","Please respond to this message within 12 hours.

Dear Jeffrey Skilling,

This is a reminder that you... [94.66%]"
"subject: Time-sensitive: Confirm your details before midnight.
urls: True
attachments: False
sentiment: urgent
->
body:","2016 Member ID: 1620245

NAME AT THE TIME: <PER>
EMAIL: <EMAIL>
PASSWORD: westeros

Dear <PER>,

Con... [92.45%]","<PER> --

In just a few hours, we'll close the books on our <ORG> campaign. We're facing a critical ... [3.03%]","<ORG>
*****************************************************************
Click here to view the full ... [79.48%]"
"subject: Immediate attention required: Security alert detected.
urls: True
attachments: False
sentiment: urgent
->
body:",1. We have detected an immediate security risk. 2. This is a critical alert. 3. Click here to stop t... [36.4%],"Please do not reply to this message.

This message is being sent to you as the owner of a Yahoo! acc... [99.98%]","Dear Valued Customer,

We have received a security alert for your email address. This is an automate... [99.57%]"
"subject: Act now: Limited window to resolve your account issue.
urls: True
attachments: False
sentiment: urgent
->
body:","6 days until the <ORG> deadline.

We're almost there.

But <PER>, we still need your help.

We need ... [0.08%]","Dear <ORG>.biz user,

You have not yet confirmed that your identity
is associated with the account y... [99.61%]","Dear JEFFREY SKILLING,

This is a critical reminder about your account at The Wall Street Journal. 
... [0.03%]"
"subject: Deadline approaching: Submit your information today.
urls: False
attachments: True
sentiment: urgent
->
body:","2001 <ORG> LEGISLATIVE SURVEY
Please complete the attached survey and return it to us by <DATE>.  Th... [99.97%]","Dear Mr. Kaminski,

In just a few days, the <DATE> deadline to be included in the
2001-2002 <ORG> Di... [93.18%]",This message is to inform you that your information is currently being reviewed for a position in on... [97.23%]
"subject: Critical update: Respond immediately to avoid penalties.
urls: False
attachments: False
sentiment: urgent
->
body:","12 days until <DATE> deadline.
$1,OOO,OOO Goal
<PER>,

The <ORG> is about to face a major setback.

... [96.63%]","Dear  <PER> D.,

Critical  update: Your 2015 tax filing deadline is just 10 days away.

To  avoid pe... [0.05%]","Dear <PER>:

As a result of the recent legislation, the way your company files and pays its payroll ... [72.39%]"
"subject: Urgent reminder: Payment overdue and requires action.
urls: True
attachments: False
sentiment: urgent
->
body:","2001 Payment due for <ORG> Online Prime Brokerage Services

Dear <PER> Wolfe,

We are sending this m... [76.86%]","Dear <PER> Wolfe,

You are receiving this message because you have an unresolved invoice in your iPa... [0.03%]","Dear PATRICE L MIMS,

Your business and payment history are as follows:

Invoice Amount: $500.00
Inv... [99.98%]"
"subject: Immediate verification needed to secure your account.
urls: True
attachments: False
sentiment: urgent
->
body:","******* URGENT ******* 

We have received a high volume of password reset requests. As a result, we ... [99.98%]",We are currently verifying your account information.  Please click here now <<URL> and verify your i... [88.68%],"Dear Account Holder,

This email is to verify your account with the <EMAIL> service. In order to ens... [99.98%]"
"subject: Last chance: Complete your request before expiration.
urls: True
attachments: False
sentiment: urgent
->
body:","24 hours left to complete your request.

<PER>,

Your request to <LOC> University for <PER> is expir... [39.75%]","Dear <PER>,

This email is to remind you that your request for information is
scheduled to expire in... [98.23%]","Last chance: Complete your request before expiration.

Dear <PER>,

Your request to meet with <PER> ... [81.13%]"
"subject: Action Required: Immediate attention needed for your security settings.
urls: True
attachments: False
sentiment: urgent, warning
->
body:","Your security settings need to be changed immediately.
Click here to protect your identity now.
<URL... [98.46%]","Dear user,

To protect your privacy, we are writing to remind you to review your privacy and securit... [99.98%]","Dear Member,

For security reasons, we have temporarily restricted access to your <ORG> account.

Im... [95.73%]"
"subject: URGENT: Final notice regarding your unpaid invoice #4592.
urls: True
attachments: True
sentiment: urgent, threatening
->
body:","******* This message is not sent unsolicited. This is a
free-mium service that brings you real time ... [0.77%]","FINAL NOTICE: FINAL NOTICE: FINAL NOTICE: FINAL NOTICE: FINAL NOTICE

This is your FINAL NOTICE rega... [0.24%]","FINAL NOTICE: We have not received full payment of your invoice.

URGENT: Final notice regarding you... [51.02%]"
"subject: Last Chance: Your exclusive access expires in exactly 2 hours!
urls: True
attachments: False
sentiment: urgent, anxious
->
body:","2 HOURS LEFT TO SAVE UP TO $1000 ON YOUR NEW CIRCUIT CITY� CARD!

Click to learn more! 
<URL>

-----... [0.04%]","Dear NEW YORK YANKEES FAN,

If you have received this email it is because we are trying to reach you... [93.39%]",You have received the alternative text version of an HTML message. Please click below to access the ... [0.77%]
"subject: CRITICAL: A severe security breach detected on your profile.
urls: True
attachments: False
sentiment: urgent, alarming
->
body:","1. YOUR ACCOUNT IS SUSPENDED
2. HOW TO REACTIVATE YOUR ACCOUNT
3. HOW TO PREVENT THIS IN THE FUTURE
... [99.92%]","THIS IS A REAL EMAIL! DO NOT CLICK ON THE LINK!

Your account has been accessed from an unusual loca... [99.0%]","This is a critical alert. Please read immediately!

Someone just tried to hack your <ORG> profile. W... [44.78%]"
"subject: Act Now: Your premium subscription will be canceled today.
urls: True
attachments: False
sentiment: urgent, warning
->
body:",2016 Member: This is your last chance to renew your premium subscription before it automatically rev... [20.76%],"<ORG>
*****************************************************************
Click here to view the full ... [91.39%]","Dear <PER>,

We hope you have enjoyed your 30-day free trial of <ORG>. Today we are writing to let y... [0.51%]"
