Prompt,SFT_Text,BCO_Text,KTO_Text
ACTION REQUIRED: Unpaid Invoice #78492 - Service Suspension Warning,"body: Alert! Alert! Alert!  
You are receiving this message because you have an unresolved, unpaid invoice in your iPayit in-box that is past due.  It is critical that you take immediate action to resolve this invoice.

Remember, you play an important role in ensuring that we pay our vendors on time.

Tip!:  You must log into iPayit to forward this invoice to another user.

To launch iPayit, click on the link below:
<URL>
Note:  Your iPayit User ID and Password are your eHRonline/<ORG> Personnel ID and Password.

First time iPayit user?  For training materials, click on the link below:
<URL>

Need help?
North America: <ORG> Call Center at <PHONE>.
<LOC>: European Accounts Payable at +4<DATE>83-7520.
Asia-Pacific: <LOC> Accounts Payable at +6<DATE>29-2336","body: You are receiving this message because you have an unresolved, unpaid invoice in your iPayit in-box that is past due.  Please log into iPayit and resolve this invoice as soon as possible.

Remember, you play an important role in ensuring that we pay our vendors on time.

Tip!:  You must login to the system to forward this invoice to another user.

To launch iPayit, click on the link below:
<URL>
Note:  Your iPayit User ID and Password are your eHRonline/<ORG> Personnel ID and Password.

First time iPayit user?  For training materials, click on the link below:
<URL>

Need help?
Please contact the <ORG> Call Center at <PHONE>.

If you are in <LOC>, please contact European Accounts Payable at +4<DATE>83 7520.","body: Alert!
You are receiving this message because you have an unresolved invoice in your iPayit in-box that is past due.  Please log into iPayit and take immediate action to resolve this invoice.

Remember, you play an important role in ensuring that we pay our vendors on time.

Tip!:  You must login to the system to forward this invoice to another user.

To launch iPayit, click on the link below:
<URL>
Note:  Your iPayit User ID and Password are your eHRonline/<ORG> Personnel ID and Password.

First time iPayit user?  For training materials, click on the link below:
<URL>

Need help?
North America: <ORG> Call Center at <PHONE>.
<LOC>: European Accounts Payable at +4<DATE>83-7520.
Asia-Pacific: <LOC> Accounts Payable at +6<DATE>29-2336"
Confidential: Updated 2026 Salary and Bonus Guidelines,"body: To:    <PER> <PER>
<PER> <PER>
<PER> <PER>
<PER> <PER>
<PER> <PER>
<PER> <PER>

From:  J. <PER> Amabile

Re:    Confidential: Updated 2026 Salary and Bonus Guidelines

Following up on our conversation about the above, I have attached
a draft of the guidelines with the changes we discussed.  This draft
is red-lined to show the changes.

I will be happy to take any additional feedback you may have
prior to our distribution of the guidelines to the general workforce on
Wednesday, <DATE>.

Regards,

J. <PER> Amabile
Executive Compensation
Phone:  <PHONE>","body: <PER>:

Following up on our meeting yesterday, attached is our 2026 salary and bonus guidelines for the Management Committee, Senior Management, and all other employees.  The new bonus guidelines have been revised downward (from 12% to 6%) to reflect the latest information from the <ORG> and the need to reduce costs to reflect current market conditions.  A few key items we discussed regarding these bonus guidelines:

Our 2026 bonus pool will be $6.2 million for the Management Committee, Senior Management, and all other employees.  This is down from the 2020 pool of $9 million (approximately 30% reduction).  It also represents approximately 7% of our payroll budget.  We believe this bonus pool to be the most competitive in the market.
The bonus guidelines are not an iron-clad commitment.  In other words,  the bonus pool may be reduced further if economic and company performance deteriorates.  This would be done in a timely fashion.
The bonus guidelines are based upon performance against pre-established metrics, a set date (which in 2026 will be at the end of the year) and based upon actual performance.  Therefore, any bonus awarded will be commensurate with the performance achieved.
The 2026 bonus pool will be 6% of total payroll.  The pool is not only based upon the performance of <ORG> but also the performance of the <ORG>.  As such, we believe that the pool is set at a competitive level.
The <ORG> Management Committee will have 35% of the pool (i.e. $2.15 million), the Senior Management group will have 35% of the pool (i.e. $2.","body: To:    All <ORG> Employees and Employees of Subsidiaries

As an important step in the corporate restructuring process, a new compensation and bonus plan has been developed.  The plan, which is attached, sets forth <ORG>'s 2026 salary and bonus guidelines.  These guidelines, once approved by the Board of Directors, will supersede all previous salary and bonus guidelines.

The 2002 plan addresses the important matter of a timely review process which is critical to rewarding employee contributions on a timely basis.  Employees who are hired or promoted prior to the effective date of the plan will be reviewed in accordance with the 2001 plan until such time that the plan is implemented.  Employees will receive a bonus and/or merit increase at the discretion of the supervisor or reviewing committee based on a comparison of the employee's performance to the 2001 criteria.  For those employees who were hired or promoted in 2001 or after, and who are not eligible to be evaluated under the 2001 plan, an initial salary and bonus will be determined based on performance or potential in accordance with the 2002 guidelines.

These guidelines are not intended for employees of <ORG> <LOC> and <LOC> Power, as each of these entities will develop its own salary and bonus plan for its employees.  Additionally, these guidelines are not intended for employees of <ORG> Credit, which will also develop its own plan.

With the exception of the ""Bonus Plan Overview,"" please do not discuss the attached information with other employees.  This is a confidential communication.  If you have questions relating to this matter, please contact your Human Resources Representative.



<URL>"
IT Helpdesk: Mandatory Mailbox Quota Upgrade,"body: Attention: All <ORG> Faculty and Staff with Mailboxes on O: Drive 

As part of our continuous improvement of the <ORG> technology environment, we will be increasing the mailbox size limit for all faculty and staff from 100MB to 250MB. This will better support the growth of your email and attachments. 

This increase will begin the week of <DATE>. All mailbox migrations will be performed during the <DATE> holiday break. In order to ensure a smooth migration, please do the following:
1.  Delete any items from your mailbox that you do not need.
2.  If you have any email folders that you are no longer using, please delete them. 
After the move to the new Exchange server you will not be able to delete items from the server, only from the client. 

Should you have any concerns about this increase or have any questions, please feel free to reach us via email at <EMAIL> or by phone at <PHONE>. 

Thank you for your patience. We look forward to working with you. 
Technology Service Desk 
<ORG> | <EMAIL><mailto:help@law.georgetown.edu> 
<LOC> 152 | <LOC> | <LOC> 
Office: <PHONE> 
Website<<URL> | <ORG><<URL> | Self Service<<URL>","body: Dear <ORG> Community,

As part of our ongoing effort to provide you with excellent IT support, we are upgrading the Exchange mailbox quotas for the <ORG> Community. These upgrades will help prevent problems that may occur with your mailbox in the future.

Beginning on <DATE> all mailboxes on the <ORG> mail servers will be set to 100GB, which is the maximum quota allowed. This quota will help prevent any email account from reaching maximum mailbox quota. In the past, when a user's mailbox reached its quota, important email, calendar entries, and contacts were lost. These upgrades will not only help prevent lost data, but will also result in a better email experience for all users.

If you have any questions about this upgrade, please feel free to contact the Service Center at <EMAIL><mailto:help@law.georgetown.edu> or <PHONE>.

Technology Service Desk
<ORG>","body: Dear <ORG> Community:

As you may be aware, the <ORG> email system requires periodic maintenance to ensure it is running optimally.  In order to continue providing excellent service and to increase the size of mailbox quotas, the <ORG> email system will be upgraded this <DATE>.  The upgrade will take place between the hours of 7:30 and 9:30 PM.  During this time, email services will be interrupted.

Email clients on all devices will be unavailable for approximately 15 minutes, during which time your client will be disconnected.  Emails and calendar entries on your system will not be deleted.  However, email messages left on the server or in your mailbox will be permanently deleted.

If you have any questions or concerns about this upgrade, please contact the IT Service Center at <EMAIL><tel:<PHONE>>.  If you need immediate assistance after hours, please email the Service Center at <EMAIL><mailto:help@law.georgetown.edu>, and your case will be escalated.

Thank you,
Technology Service Desk
<ORG> | <EMAIL>
600 New Jersey Ave., N.W. | <LOC>
Office: <PHONE>
Website<<URL> | <ORG><<URL> | Self Service<<URL>"
Security Alert: We detected an unusual login attempt from a new IP address,"body: <ORG> Security Alert

We detected an unusual login attempt from a new IP address
for your <ORG> account.

Please pay attention to the following IP address, which was used to send the login attempt: 61.142.43.56

This may be a security risk. To protect your account, we have blocked this IP address.

Next step:
To use <ORG> mail, you must sign in from your home location or through your own ISP. If you do so, please keep in mind that your password is known only to you.  If you share your password or let someone else sign in as you, they can change the password and take over your account.

If you did not request access to your account from this IP address, please change your password immediately and report it to us via our Contact Us form <URL> so that we can investigate.

Regards
<ORG> Customer Care","body: Dear Amazon.com Customer,

We noticed a recent sign-in to your Amazon.com account that we think
might be suspicious. Please review the following information.

Note: You should never provide your account password to anyone
requesting it via email. Amazon.com will never request this information
in this manner.

SINNED IN: <DATE>
SIGN IN EMAIL: <EMAIL>
SIGN IN PASSWORD: NOT IN OUR RECORDS
RECENT PURCHASES:
_______________________________________________
This email confirms that an account holder requested that an
email address be removed from their Amazon.com email alert list.
Amazon.com

________________________________________________________________

Security: Amazon.com takes your online security seriously and has
implemented a security system that requires additional verification
to protect your online purchases. If you have received this message
in error or are having trouble with your account, please contact
Amazon.com Customer Service through the Help department.

We hope that you enjoy shopping with us.

Sincerely,

Amazon.com
<URL>","body: <ORG> security alert

This is an automated security alert from <ORG>.
Please do not reply to this email.

Alert type: Security Alert
Alert title: New IP address
Alert severity: High

We detected an unusual login attempt from a new IP address:
<DATE>5.152.165.107

Service: <ORG>
Username: <EMAIL>

This alert may be the result of an attacker trying to get into your account. 
We recommend you immediately change your password:

<URL>

Please note that <ORG> will never ask you for your password via email. 
Any email asking you to change your password is a phishing attempt and should 
be ignored.

If you did not make this login attempt and you believe your account has been 
compromised, you should reset your password immediately:

<URL>

For safety reasons, we are unable to reset your password over the phone. 

If you need help or have questions, please contact <ORG> support:

<URL>

Thank you for using <ORG>."
Reminder: Complete the Employee Satisfaction Survey to win a $50 Amazon Gift Card,"body: This is just a reminder to complete <ORG>'s Employee Satisfaction Survey. It should take you no more than <DATE>0 minutes to complete, and will help <ORG> better understand what you like about working here and what we can do to improve.

To take the survey, click on the link below:

<URL>

If you need assistance completing the survey, please contact the <ORG> Customer Care Group at <PHONE>. 

Thank you for your participation in this important survey. 

The HR Team","body: Only a few days remain to complete the PRC-sponsored Employee Satisfaction Survey, and your voice needs to be heard! The survey will be open through <DATE> and participants will have a chance to enter to win one of five $50 Amazon.com Gift Cards.

This confidential survey is your opportunity to share your opinions about <ORG>'s PRC process. The survey results will be used to improve and/or enhance PRC, while also recognizing the individuals and teams that have contributed to the success of PRC through their participation, input and cooperation.

Please take the time to participate in the survey, and keep an eye out for your chance to win one of the five $50 Amazon.com Gift Cards!

Click on the link below.

Experiencing technical problems?  If this link does not automatically launch the questionnaire:
1.  Launch by copying the link below into your browser, or
2.  If you continue to have technical difficulties, please send an email message to <EMAIL>
3.  Please do not forward this link to anyone else, as the survey is not valid if started in this manner.

<URL>","body: Reminder!  The PEP system closes this Friday, <DATE>!

We know you have lots of options for spending your time and we appreciate you taking the time to complete the survey.


Here are the contest rules:

Rules for contest

1.  Go to the link below to enter.  
<URL> 

2.  The contest begins immediately and ends at 5:00pm CST on <DATE>.
3.  One entry per employee.
4.  Employees must be active in the PEP system during the contest period to be eligible.
5.  The winner will be chosen randomly from all valid entries.
6.  No purchase necessary.
7.  Employees must be legal residents of the <LOC>.
8.  <ORG> employees are excluded from entering the contest.
9.  <PER> are excluded from entering the contest.
10.  All taxes associated with prizes are the responsibility of the winner.


Good luck and thanks for participating!

Pegasus Solutions
<URL>"
IMPORTANT: Changes to your Health Insurance Policy starting next month,"body: Dear Member,

If you currently have health insurance provided by the CEA, and
participated in our 2002 Health Insurance enrollment process, it is
CRITICAL that you take action immediately.

1.  If you have not already done so, you must complete and submit the
2002 Health Insurance Enrollment Form by <DATE>.

This form must be completed and submitted even if you do NOT want to
change your current coverage options.  The form allows us to validate
your current coverage.

The 2002 enrollment forms are available on our website, <URL>, or by
calling our customer service department at <PHONE>.  Please have the
form postmarked by <DATE>.

2.  As you may be aware, starting <DATE>, the CEA's health
insurance benefits administration will be transitioning from Aon to
another company.  Your coverage will continue uninterrupted through
the end of <DATE>.  However, because Aon has been the sole
administrator of your policy, a complete and accurate record of your
health insurance plan needs to be migrated to the new administrator by
the end of the year.  As such, it is CRITICAL that you respond to
this communication in a timely manner.

Thank you for your cooperation.

Sincerely,

Human Resource Services
<EMAIL>","body: Dear <PER>,

New changes to your health insurance policy will go into effect on <DATE>.  If you currently have coverage under the UFT Welfare Fund, you need to re-enroll if you want to continue receiving the same level of coverage.  

Why am I writing you?   Starting in 2016, active members who are enrolled in the UFT Welfare Fund will receive the same health benefits they have today, but will have to choose one of three different medical plan options.  You must make a selection by <DATE>.  If you do not choose a plan, you will be automatically enrolled in an HMO.  

What should I do?   We encourage you to take the time to compare the different options and make a choice that best suits you and your family.  You will need to login to the benefits website listed below to make changes to your enrollment.  If you have any problems accessing the website or need assistance in comparing plans, you can call us at <PHONE> or visit us on line at <URL>

How do I choose a plan?   You can enroll in the same plan you have today, or choose one of the two new plans.  All three plans are PPOs with different networks.  To review the three plans, click on the link below.  You will find a chart that lists the doctors in each network.  You will need to login to the website to access this information.

<URL>

How do I enroll?   To enroll, go to <URL> and click on the Enrollment button.  You will need your SSN and the company PIN number, which is:  9000.

Thank you for your attention to this important matter.  If you have","body: <ORG>
<PER>
<ORG>
<ORG>

<DATE>

**********


Dear <PER>,


Today, there are a lot of things that could go wrong with your health
insurance policy.  The costs of premiums, co-pays and deductibles have
increased sharply in the past year, and those costs will continue to
increase in 2016.  In 2017, major changes to the Affordable Care Act will
affect millions of Americans, making a high-quality, low-cost plan
more difficult to find than ever.

To help you through these changes, we wanted to make sure that you were
aware of what's coming and how to be prepared.

You will be automatically enrolled in the new Blue Cross Premier Plan
starting <DATE>. This plan has a $0 deductible and is designed
to give you the coverage you want and need.

This plan is in addition to the $3,000 HSA plan you currently have through
<ORG>. The Blue Cross Premier Plan will be the primary plan, with your
HSA acting as a secondary plan. This gives you the benefit of a $0
deductible primary plan with a high deductible secondary plan, resulting
in a great value for you and your family.

The cost of your coverage depends on how many times you use the
emergency room, how much medication you take, and how often you go to the
doctor. We expect that the costs for the Blue Cross Premier Plan will
remain low since you are a healthy individual who does not visit the
doctor often. When we notify you of the details of the plan for 2016, we
will also provide you with a cost estimate.

We are excited to have"
Failed Delivery Attempt: Please verify your shipping address for tracking #AW99281,"body: Dear <PER>,

UPS failed to deliver your package, tracking number #AW99281

Please verify your shipping address in your profile: <URL>
Confirm the address and try to receive your package from the local post office.
For your convenience, your tracking number is provided below.

AW99281

If you have any questions, please contact us at <EMAIL>.


Thank you,

UPS

<URL>","body: <DATE>

Delivery Confirmation

Your package confirmation number is 1Z0110W000000000000, and you can
use it to track your package online at
<URL>/TrackPackage.

If you did not receive the package described above, please check with
your neighbors, as they may have received a package for you.
Please confirm your mailing address so that we can resolve this issue
as quickly as possible.

Thank you for your patience,

The UPS Delivery Confirmation System

We apologize for the inconvenience. This message is sent automatically to
the e-mail address you provided when you submitted your shipment online.

If you prefer not to receive e-mail notifications from UPS or if you
believe that you have received this e-mail in error, please reply to
this message. Your request will be processed within 10 business days.","body: Dear Expedia.com customer:

This e-mail confirms that your order # 7500129 has been shipped to you by UPS.

The following tracking number is available:

AW99281

This tracking number may be used to track your package at the UPS Tracking site.

You may access this tracking number by clicking on the tracking number above. If you are unable to access this number or need further assistance, please contact Customer Service.
<URL>

Your credit card will not be charged until your order is shipped and the card's billing address is confirmed to be yours.

Sincerely,

Expedia.com Customer Service




PLEASE DO NOT REPLY TO THIS AUTOMATICALLY GENERATED MESSAGE
PLEASE DO NOT REPLY TO THIS AUTOMATICALLY GENERATED MESSAGE
PLEASE DO NOT REPLY TO THIS AUTOMATICALLY GENERATED MESSAGE"
Your recent Amazon.com order #112-9938-11 has been temporarily placed on hold,"body: Greetings from Amazon.com.

We recently received notification that your recent order has
been stopped. To let you know why this happened, we are
sending you this message.

Your order has been placed on temporary hold because we have
asked you to verify the payment method for the purchase.
Since we want to be sure that your purchase is successful,
we often check an order before shipping it to you.

In this case, we noticed that the billing information for the
order has not been verified. To do so, you must visit the
following URL:

<URL>

Please note that this link will only be active for 48 hours.
If you have not been able to verify your billing information
by the end of that period, we will cancel your order.

The following items were included in the order:
-------------------------
Canned Beans
-------------------------
Quantity: 1
Sold by: Wal-Mart.com
Item #: 1000000000097858
Price: $8.97

Please note that if the item you ordered is out of stock or
otherwise unavailable, we will remove the item from your order
before shipping it to you. Your order will not be placed on
hold for those items, and the remaining items will be shipped
to you.

If you have questions about your order, we are happy to help.
Please visit our Help department at <URL>
or give us a call at <DATE>00-201-7575.  Please be sure
to have your order number handy.

Thank you for shopping at Amazon.com, and we hope to see you
again!

The Amazon.com Team

PS: If you do not wish to receive this type of e-mail","body: Greetings from Amazon.com.

This message explains why your recent order was placed on hold and what
you can do about it.

The following items were included in the order:

The Sopranos: The Complete Second Season (Import, Multiregion)
(Video DVD)                    List price: $119.99
You saved: $119.99
You paid: $119.99
-------------------------
Harry Potter and the Chamber of Secrets (Video DVD)         List
price: $28.98
You saved: $28.98
You paid: $28.98
-------------------------
Star Wars Trilogy Box Set (Video DVD)                        List
price: $99.98
You saved: $99.98
You paid: $99.98
-------------------------
Spider-Man (Video DVD)                                      List
price: $28.98
You saved: $28.98
You paid: $28.98
-------------------------
Spider-Man 2 (Video DVD)                                    List
price: $28.98
You saved: $28.98
You paid: $28.98

Thank you for ordering from Amazon.com. We look forward to serving you
again.

-------------------------------------------------
Questions? Please visit our Help department at:
<URL>

You can also contact us by replying directly to this e-mail.
Please be sure to include your order number in all inquiries.

We will respond to your e-mail within 24 hours on business days.","body: Greetings from Amazon.com.

We recently placed your recent order, order #112-9938-11, on hold. 
We are currently reviewing your billing and payment information. 
Your order status will be updated when we have reached a final 
decision. We appreciate your patience during this process.

If you do not wish to have your order placed on hold, you may cancel 
this order by accessing Your Account on the Amazon.com website 
and selecting the Cancel Order button. The Cancel Order button is 
located near the order number in your order details in the View 
Orders section.

If you have questions or concerns about this order, please visit the 
Help Department at <URL>

Thank you for shopping at Amazon.com, and we hope to serve you again.

Sincerely,

Amazon.com Customer Service


---------------------------------------------------------------
Your shopping cart
-------------------

Item                 Quantity               Price         Shipping*
---------------------------------------------------------------
1           Amazon.com gift certificate    1      $25.00   No shipping charge
---------------------------------------------------------------
Your total:     $25.00   Shipping estimated: No shipping charge

E-mail gift certificate:
Send to:    <EMAIL>    Your gift:    $25.00


---------------------------------------------------------------
* Shipping estimates are based on the weight and size of your items 
and shipping method. Shipping costs will be finalized when your order 
is shipped."
Introduction: Please welcome our new VP of Operations (See attached bio),"body: To:     <PER> P. O'Neill
<PER> M. O'Neill

Subject:	Please welcome our new VP of Operations

Date:    <DATE>

Dear <PER> and <PER>,

I have been in <LOC> for 2 weeks now, working hard to hit the ground running. This first week was mainly an introduction to <LOC> and a learning tour about <ORG>'s business. I am pleased to announce that I have finally settled down in the 10th floor of <LOC> to start working with the team.

I look forward to meeting you soon and to keep working towards our shared goal of creating a more efficient operation and getting our systems and processes up to speed.

Regards,

Rajeev

Rajeev Anand
VP - Operations
<PER> Foundation
<PHONE> (o)
<PHONE> (m)
<EMAIL>
<URL>","body: Dear <PER>, <PER> and <PER>,

We are pleased to announce that we have hired <PER> as our new Vice President of Operations. <PER> has been the Assistant Treasurer of <ORG> for the past three years.  Prior to his current role, <PER> was the Chief Financial Officer of <ORG> Japan and, before that, Vice President of Finance and Controller for <ORG> Japan.  He has over 15 years of international financial and operating experience.

Our Finance team is growing and developing into the world-class group we need to support our business going forward.  I have asked <PER> to help coordinate the group's efforts to streamline our business processes and improve our systems.  He is eager to take on this challenge and I am confident that he will be able to do so effectively.  I encourage all of you to join me in welcoming <PER> to his new role.

Sincerely,

<PER>

<PER>

<PER> is <ORG>'s Executive Vice President and Chief Financial Officer.  He joined <ORG> in 1992 and was Vice President and Treasurer of <ORG> from 1999 to 2002.  Prior to joining <ORG>, he served in various financial and management positions at <ORG> and its subsidiaries.  <PER> is a graduate of the University of <LOC> at Austin.

<PER> can be contacted at <PHONE> or through the online contact form at <URL>","body: I am pleased to announce that you have a new member of the Board of Directors.

Perri D. McFarlin, VP of Operations, joined the <ORG> Board of Directors on <DATE>. He has been working with us since May as a contractor in the Operations department. In late October, when we realized we had made a significant contribution to his development, we made him a permanent employee.

As a member of the board, Perri will represent us on the <LOC> CLE Board of Directors. The <LOC> CLE Board provides educational, certification and administrative services to <LOC> CLE Centers throughout <LOC>.  Perri's first meeting will be at the <LOC> CLE Board of Directors meeting on <DATE> in Austin, <LOC>.

In addition to serving on the <LOC> CLE Board, Perri is still working in Operations. His primary project will be working with us to ensure that our operational changes result in a smooth implementation of the new system.

As a director, Perri has an obligation to attend all board meetings and is entitled to the same benefits and rights as all other board members.  As an employee, Perri has an obligation to perform his job and is entitled to his regular compensation and benefits.

We have been fortunate to find such a talented person in a difficult market. I hope that you will congratulate Perri on his accomplishments and get to know him better.

Sincerely,
Peter E. Haas

==================================Peter E. Haas

Peter E. Haas has served as president and CEO of The <LOC> <LOC> Bar Foundation (NLBF) since March of 2001, following a 26-year career in public service. He"
Quick question regarding the upcoming Q3 Board Meeting presentation,"body: Mr. Lay,

I just read a summary of the presentation that <PER> and I will be giving
at the Board Meeting on <DATE> and am very concerned by a few
points.  

First, I am very concerned that the current <LOC> Stock Exchange listing of <ORG> will be
withdrawn because <ORG> does not have the minimum cash requirement of
at least $250 million.  The current estimate is that <ORG> will not
meet this requirement.  I think it is of paramount importance that <ORG> remains listed on the <LOC> Stock Exchange.  Can we raise the
required $250 million in 3 weeks?  Or can we somehow suspend the
requirement until 2002?  

Second, I am very concerned with the fact that the $1 billion of credit
facilities are currently not available.  Given that <ORG> is losing $1
million every hour in cash flow, can we do anything to make the money
available?

Third, given the low cash position we are in, should we not have some
kind of investor conference call (similar to the 3rd quarter earnings
call) to tell the investors that we will make every effort to avoid a
bankruptcy.  This would alleviate some of the panic, at least
temporarily.

Finally, I strongly suggest that you seriously consider accepting the
$1 billion of credit from Citigroup.  This would give us the liquidity we
need to avoid a bankruptcy filing.  

I'm sure <PER> and I can answer any questions that you or
others may have during the <DATE> Board Meeting.  Please
contact us by e-mail at <EMAIL> or <EMAIL","body: Hi <PER>-

I hope all is well. I wanted to ask you a quick question about the presentation you are putting together for the Board's meeting on <DATE>. Are you planning to include any graphs that look like the attached (based on my conversation with <PER> today)? We are hoping to get an update on this and I wanted to run it by you beforehand.

I look forward to your reply.

Best,
<PER>

<IMG>","body: Mr. Lay,

I'm not sure if you had a chance to review the presentation or not but I just wanted to remind you that we are going to be discussing this presentation for the upcoming Board Meeting.  It is important that we get it to you as soon as possible.

I look forward to working with you in the future.

Regards,

<PER>"
